SECID,SHORTNAME,ISIN,LISTLEVEL,SECNAME,BOARDID,status,TRADEDATE
ABIO,iАРТГЕН ао,RU000A0JNAB6,2.0,"ПАО ""Артген""",SMAL,active,
ABRD,АбрауДюрсо,RU000A0JS5T7,3.0,Абрау-Дюрсо ПАО ао,SMAL,active,
AFKS,Система ао,RU000A0DQZE3,1.0,"АФК ""Система"" ПАО ао",SMAL,active,
AFLT,Аэрофлот,RU0009062285,1.0,Аэрофлот-росс.авиалин(ПАО)ао,SMAL,active,
ALRS,АЛРОСА ао,RU0007252813,1.0,АЛРОСА ПАО ао,SMAL,active,
AMEZ,АшинскийМЗ,RU000A0B88G6,3.0,Ашинский метзавод ПАО ао,SMAL,active,
APRI,АПРИ,RU000A108LJ5,3.0,АПРИ,SMAL,active,
APTK,Аптеки36и6,RU0008081765,2.0,"ПАО ""Аптечная сеть 36,6"" ао",SMAL,active,
ARSA,Арсагера,RU000A0JP0Q7,3.0,УК Арсагера ПАО-ао,SMAL,active,
ASSB,АстрЭнСб,RU000A0D8MM8,3.0,"""Астраханская ЭСК"" ПАО",SMAL,active,
BISVP,БашИнСв ап,RU0009100176,3.0,Башинформсвязь(ПАО) ап,SMAL,active,
BLNG,Белон ао,RU000A0J2QG8,3.0,Белон ОАО ао,SMAL,active,
BSPB,БСП ао,RU0009100945,1.0,"ПАО ""Банк ""Санкт-Петербург"" ао",SMAL,active,
BSPBP,БСП ап,RU000A0JP0U9,3.0,Банк Санкт-Петербург ап,SMAL,active,
CARM,СТГ,RU000A105NV2,3.0,СТГ ао,SMAL,active,
CBOM,МКБ ао,RU000A0JUG31,1.0,"""МКБ"" ПАО ао",SMAL,active,
CHGZ,РН-ЗапСиб,RU0009082291,3.0,РН-Западная Сибирь ПАО ао,SMAL,active,
CNTL,Телеграф,RU0007665147,3.0,"""Центральный Телеграф"" ПАО ао",SMAL,active,
CNTLP,Телеграф-п,RU0007665139,3.0,"""Центральный Телеграф"" ПАО ап",SMAL,active,
DIOD,ЗаводДИОД,RU000A0JQWC1,3.0,Завод ДИОД ПАО ао,SMAL,active,
DVEC,ДЭК ао,RU000A0JP2W1,3.0,"""ДЭК"" ПАО ао",SMAL,active,
EELT,ЕвроЭлтех,RU000A0JWW54,3.0,"""ЕвропЭлектротехника"" ПАО ао",SMAL,active,
ELFV,ЭЛ5Энер ао,RU000A0F5UN3,1.0,"""ЭЛ5-Энерго"" ПАО",SMAL,active,
ELMT,Элемент,RU000A102093,3.0,Элемент,SMAL,active,
FEES,Россети,RU000A0JPNN9,1.0,"""ФСК - Россети"" ПАО",SMAL,active,
FESH,ДВМП ао,RU0008992318,2.0,ДВ морское пароходство ПАО ао,SMAL,active,
FLOT,Совкомфлот,RU000A0JXNU8,1.0,Совкомфлот ао,SMAL,active,
GAZA,ГАЗ ао,RU0009034268,3.0,ГАЗ ПАО ао,SMAL,active,
GAZAP,ГАЗ ап,RU000A0ZYHF5,3.0,ГАЗ ПАО ап,SMAL,active,
GAZC,ГАЗКОН-ао,RU000A0JQG86,3.0,ГАЗКОН (ПАО) ао,SMAL,active,
GAZP,ГАЗПРОМ ао,RU0007661625,1.0,"""Газпром"" (ПАО) ао",SMAL,active,
GAZS,ГАЗ-сервис,RU000A0JQG78,3.0,ГАЗ-сервис (ПАО) ао,SMAL,active,
GAZT,ГАЗ-Тек ао,RU000A0JS199,3.0,ГАЗ-Тек ПАО ао,SMAL,active,
GECO,iГЕНЕТИКО,RU000A105BN4,3.0,ЦГРМ ГЕНЕТИКО ао,SMAL,active,
GEMA,iММЦБ ао,RU000A100GC7,3.0,ПАО ММЦБ ао,SMAL,active,
GMKN,ГМКНорНик,RU0007288411,1.0,"ГМК ""Нор.Никель"" ПАО ао",SMAL,active,
GTRK,ГТМ ао,RU000A0ZYD22,3.0,"ПАО ""ГТМ"" ао",SMAL,active,
HIMCP,Химпром ап,RU0009099006,3.0,Химпром ПАО ап,SMAL,active,
HYDR,РусГидро,RU000A0JPKH7,1.0,"ПАО ""РусГидро""",SMAL,active,
IRAO,ИнтерРАОао,RU000A0JPNM1,1.0,"""Интер РАО"" ПАО ао",SMAL,active,
IRKT,Яковлев-3,RU0006752979,3.0,"""Яковлев"" ПАО ак.об.-3",SMAL,active,
JNOS,Славн-ЯНОС,RU0009100895,3.0,Славнефть-ЯНОС (ПАО) ао,SMAL,active,
JNOSP,Слав-ЯНОСп,RU0009101927,3.0,Славнефть-ЯНОС (ПАО) ап,SMAL,active,
KAZT,Куйбазот,RU000A0B9BV2,3.0,Куйбышевазот ПАО ао,SMAL,active,
KAZTP,Куйбазот-п,RU000A0B9BW0,3.0,Куйбышевазот ПАО ап,SMAL,active,
KBSB,ТНСэКубань,RU000A0JNJ11,3.0,ТНС энерго Кубань ПАО ао,SMAL,active,
KCHE,КамчатЭ ао,RU0006753498,3.0,Камчатскэнерго ПАО ао,SMAL,active,
KCHEP,КамчатЭ ап,RU0006753480,3.0,Камчатскэнерго ПАО ап,SMAL,active,
KGKC,КурганГКао,RU000A0JP120,3.0,Курганская генер.комп.ПАО ао,SMAL,active,
KGKCP,КурганГКап,RU000A0JP138,3.0,Курганская генер. комп. ПАО ап,SMAL,active,
KLSB,КалужскСК,RU000A0DKZK3,3.0,"ао""Калужская сбыт.комп.""ПАО",SMAL,active,
KLVZ,Кристалл,RU000A107KX0,3.0,Алкогольная Группа Кристалл,SMAL,active,
KMAZ,КАМАЗ,RU0008959580,2.0,КАМАЗ ПАО,SMAL,active,
KRKOP,ТКЗКК ап,RU0009098131,3.0,ТКЗ Красный котельщик ПАО ап,SMAL,active,
KROT,КрасОкт-ао,RU0008913850,3.0,"""КрасныйОктябрь"" ПАО - ао",SMAL,active,
KROTP,КрасОкт-1п,RU0008913868,3.0,КрасныйОктябрь-1п,SMAL,active,
KRSB,Красэсб ао,RU000A0HMLY1,3.0,Красноярскэнергосбыт ао,SMAL,active,
KRSBP,Красэсб ап,RU000A0HMLZ8,3.0,Красноярскэнергосбыт ап,SMAL,active,
KUZB,КузнецкийБ,RU000A0JSQ66,3.0,"Банк ""Кузнецкий"" ПАО ао",SMAL,active,
KZOS,ОргСинт ао,RU0009089825,3.0,"ПАО ""Органический синтез"" ао",SMAL,active,
KZOSP,ОргСинт ап,RU0006753456,3.0,"ПАО ""Органический синтез"" ап",SMAL,active,
LIFE,Фармсинтез,RU000A0JR514,3.0,Фармсинтез ПАО ао,SMAL,active,
LPSB,ЛЭСК ао,RU000A0D8MR7,3.0,Липецкая энергосбыт.ком.ОАО ао,SMAL,active,
LSNG,РСетиЛЭ,RU0009034490,3.0,Россети Ленэнерго ПАО-ао,SMAL,active,
LSNGP,РСетиЛЭ-п,RU0009092134,3.0,Россети Ленэнерго ПАО-ап,SMAL,active,
LVHK,Левенгук,RU000A0JT7Y2,3.0,Левенгук ПАО ао,SMAL,active,
MAGE,МагадЭн ао,RU0006758919,3.0,"""Магаданэнерго"" ПАО ао",SMAL,active,
MAGEP,МагадЭн ап,RU0006758893,3.0,"""Магаданэнерго"" ПАО ап",SMAL,active,
MAGN,ММК,RU0009084396,1.0,"""Магнитогорск.мет.комб"" ПАО ао",SMAL,active,
MFGS,Мегион-ао,RU0009011126,3.0,"ао ""Славнефть-Мегионнефтегаз""",SMAL,active,
MFGSP,Мегион-ап,RU0009011134,3.0,ап Мегионнефтегаз,SMAL,active,
MGKL,МГКЛ,RU000A0JVJQ8,3.0,МГКЛ ао,SMAL,active,
MISB,ТНСэнМарЭл,RU000A0D8K33,3.0,ТНС энерго Марий Эл ПАО ао,SMAL,active,
MISBP,ТНСэМаЭл-п,RU000A0D8K41,3.0,ТНС энерго Марий Эл ПАО ап,SMAL,active,
MOEX,МосБиржа,RU000A0JR4A1,1.0,ПАО Московская Биржа,SMAL,active,
MRKC,РоссЦентр,RU000A0JPPL8,2.0,"ПАО ""Россети Центр"" ао",SMAL,active,
MRKK,Россети СК,RU000A0JPPQ7,3.0,Россети Сев. Кавказ ао,SMAL,active,
MRKP,РСетиЦП ао,RU000A0JPN96,2.0,Россети Центр и Приволжье ао,SMAL,active,
MRKS,РсетСиб ао,RU000A0JPPF0,2.0,Россети Сибирь ао,SMAL,active,
MRKU,Россети Ур,RU000A0JPPT1,2.0,Россети Урал (ПАО) ао,SMAL,active,
MRKV,РсетВол ао,RU000A0JPPN4,2.0,Россети Волга ао,SMAL,active,
MRKY,РоссЮг ао,RU000A0JPPG8,3.0,Россети Юг  (ПАО) ао,SMAL,active,
MRKZ,РСетиСЗ ао,RU000A0JPPB9,2.0,ПАО Россети Северо-Запад ао,SMAL,active,
MRSB,МордЭнСб,RU000A0D9AJ7,3.0,Мордовск.энергсбыт.комп.ПАО ао,SMAL,active,
MSNG,+МосЭнерго,RU0008958863,1.0,МосЭнерго акции обыкн.,SMAL,active,
MSRS,РСетиМР ао,RU000A0ET7Y7,2.0,ПАО Россети Моск.рег. ао,SMAL,active,
MSTT,Мостотрест,RU0009177331,3.0,"ПАО ""МОСТОТРЕСТ"" ао",SMAL,active,
MTLRP,Мечел ап,RU000A0JPV70,1.0,Мечел ПАО ап,SMAL,active,
MTSS,МТС-ао,RU0007775219,1.0,Мобильные ТелеСистемы ПАО ао,SMAL,active,
NAUK,iНПОНаука,RU000A0JRPX9,3.0,НПО Наука ао,SMAL,active,
NFAZ,НЕФАЗ,RU0009115604,3.0,НЕФАЗ ПАО ао,SMAL,active,
NKHP,НКХП ао,RU000A0BLWD7,3.0,НКХП ПАО ао,SMAL,active,
NKNC,НКНХ ао,RU0009100507,3.0,"""Нижнекамскнефтехим"" ПАО ао",SMAL,active,
NKNCP,НКНХ ап,RU0006765096,3.0,"""Нижнекамскнефтехим"" ПАО ап",SMAL,active,
NKSH,Нижкамшина,RU0009100515,3.0,Нижнекамскшина ПАО ао,SMAL,active,
NLMK,НЛМК ао,RU0009046452,1.0,"ПАО ""НЛМК"" ао",SMAL,active,
NMTP,НМТП ао,RU0009084446,3.0,НМТП (ПАО) ао,SMAL,active,
NSVZ,iНаукаСвяз,RU000A0JQLB6,3.0,Наука-Связь ПАО ао,SMAL,active,
OGKB,ОГК-2 ао,RU000A0JNG55,2.0,ОГК-2 ПАО ао,SMAL,active,
OKEY,OKEY-гдр,US6708662019,3.0,ГДР OKEY Group S.A. ORD SHS,SMAL,active,
OZPH,iОзонФарм,RU000A109B25,2.0,Озон Фармацевтика,SMAL,active,
PMSB,ПермьЭнСб,RU000A0ET123,3.0,"""Пермэнергосбыт"" ПАО ао",SMAL,active,
PMSBP,ПермьЭнС-п,RU000A0ET156,3.0,"""Пермэнергосбыт"" ПАО ап",SMAL,active,
PRFN,ЧЗПСН ао,RU000A0JNXF9,3.0,ЧЗПСН-Профнастил (ПАО) ао,SMAL,active,
RASP,Распадская,RU000A0B90N8,2.0,ПАО Распадская ао,SMAL,active,
RBCM,ГК РБК ао,RU000A0JR6A6,3.0,ГК РБК ПАО ао,SMAL,active,
RDRB,РДБанк ао,RU000A0JU6Q7,3.0,РоссийскийДорож Банк ПАО ао,SMAL,active,
RENI,Ренессанс,RU000A0ZZM04,1.0,Ренессанс Страхование ао,SMAL,active,
RGSS,РГС СК ао,RU0008010855,3.0,Росгосстрах СК ПАО ао,SMAL,active,
ROLO,Русолово,RU000A0JU1B0,3.0,"""Русолово"" ПАО ао",SMAL,active,
ROST,РОСИНТЕРао,RU000A0JP922,3.0,РОСИНТЕР РЕСТОРАНТС (ПАО),SMAL,active,
RTKM,Ростел -ао,RU0008943394,1.0,Ростелеком (ПАО) ао.,SMAL,active,
RTKMP,Ростел -ап,RU0009046700,1.0,Ростелеком (ПАО) ап.,SMAL,active,
RTSB,ТНСэнРст,RU000A0D8PB4,3.0,ТНС энерго Ростов. ПАО ао,SMAL,active,
RTSBP,ТНСэнРст-п,RU000A0D8PC2,3.0,ТНС энерго Ростов. ПАО ап,SMAL,active,
RU000A0ERGA7,ПИФСбер-КН,RU000A0ERGA7,3.0,ПИФСбербанк Комм.недвижимость,SMAL,active,
RU000A0JPZL7,АкБрс-Инв,RU000A0JPZL7,3.0,"Ак Барс ПИФ ""АК БАРС-Инвестиц""",SMAL,active,
RU000A0JR282,ПИФАкции,RU000A0JR282,3.0,ПИФ Акции УК ВИМИнвест,SMAL,active,
RU000A0JR2A5,ПИФСбалан,RU000A0JR2A5,3.0,ПИФ Сбалансир Инв УК ВИМИнвест,SMAL,active,
RU000A0JR2C1,ПИФКазна,RU000A0JR2C1,3.0,ПИФ Казначейский УК ВИМИнвест,SMAL,active,
RU000A108RS3,ПИФЗалЗайм,RU000A108RS3,3.0,ЗПИФ Залоговые займы,SMAL,active,
RUAL,РУСАЛ ао,RU000A1025V3,1.0,РУСАЛ ОК МКПАО ао,SMAL,active,
RUSI,ИКРУСС-ИНВ,RU000A0JQ9W5,3.0,РУСС-ИНВЕСТ ИК ПАО ао,SMAL,active,
RZSB,РязЭнСб,RU000A0D9AF5,3.0,"""Рязанская энергосб.комп"" ПАО",SMAL,active,
SAGO,СамарЭн-ао,RU0009098255,3.0,Самараэнерго (ПАО) - ао,SMAL,active,
SAGOP,СамарЭн-ап,RU0009084495,3.0,Самараэнерго (ПАО) - ап,SMAL,active,
SARE,СаратЭн-ао,RU0009100754,3.0,Саратовэнерго(ПАО)-ао,SMAL,active,
SAREP,СаратЭн-ап,RU0009100762,3.0,Саратовэнерго(ПАО)-ап,SMAL,active,
SBER,Сбербанк,RU0009029540,1.0,Сбербанк России ПАО ао,SMAL,active,
SBERP,Сбербанк-п,RU0009029557,1.0,Сбербанк России ПАО ап,SMAL,active,
SELG,Селигдар,RU000A0JPR50,1.0,"ПАО ""Селигдар""  ао",SMAL,active,
SGZH,Сегежа,RU000A102XG9,1.0,Сегежа ао,SMAL,active,
SLEN,Сахэнер ао,RU0009280465,3.0,"ПАО ""Сахалинэнерго"" ао",SMAL,active,
SNGS,Сургнфгз,RU0008926258,2.0,Сургутнефтегаз ПАО акции об.,SMAL,active,
SNGSP,Сургнфгз-п,RU0009029524,2.0,Сургутнефтегаз ПАО ап,SMAL,active,
SOFL,iСофтлайн,RU000A0ZZBC2,2.0,Софтлайн ао,SMAL,active,
STSB,СтаврЭнСб,RU000A0ET1W4,3.0,Ставрополэнергосбыт ПАО ао,SMAL,active,
STSBP,СтаврЭнСбп,RU000A0ET1Z7,3.0,Ставрополэнергосбыт ПАО ап,SMAL,active,
SVCB,Совкомбанк,RU000A0ZZAC4,1.0,Совкомбанк ао,SMAL,active,
TASB,ТамбЭнСб,RU000A0D8NG8,3.0,"ао""Тамбов.энергсбыт.комп.""ПАО",SMAL,active,
TASBP,ТамбЭнСб-п,RU000A0D8NH6,3.0,"ап""Тамбов.энергсбыт.комп.""ПАО",SMAL,active,
TGKA,ТГК-1,RU000A0JNUD0,1.0,"ао ПАО ""ТГК-1""",SMAL,active,
TGKB,ТГК-2,RU000A0JNGS7,3.0,"ао ПАО ""ТГК-2""",SMAL,active,
TGKBP,ТГК-2 ап,RU000A0JNGT5,3.0,"ап ПАО ""ТГК-2""",SMAL,active,
TGKN,ТГК-14,RU000A0H1ES3,2.0,"ао ПАО ""ТГК-14""",SMAL,active,
TORS,РСТомск ао,RU000A0ETZF2,3.0,"ао ПАО ""Россети Томск""",SMAL,active,
TORSP,РСТомск ап,RU000A0ETZM8,3.0,"ап ПАО ""Россети Томск""",SMAL,active,
TRMK,ТМК ао,RU000A0B6NK6,2.0,ПАО ТМК,SMAL,active,
TTLK,Таттел. ао,RU000A0HM5C1,3.0,"""Таттелеком"" ПАО ао",SMAL,active,
TUZA,ТЗА ао,RU000A0HL7A2,3.0,Туймаз. завод автобетоновозов,SMAL,active,
UGLD,ЮГК,RU000A0JPP37,2.0,ЮГК,SMAL,active,
UNAC,iАвиастКао,RU000A0JPLZ7,3.0,Об.авиастр.корп. ПАО ао,SMAL,active,
UPRO,Юнипро ао,RU000A0JNGA5,1.0,Юнипро ПАО ао,SMAL,active,
USBN,УралСиб ао,RU0006929536,3.0,БАНК УРАЛСИБ ПАО ао,SMAL,active,
UTAR,ЮТэйр ао,RU0007661385,3.0,"Авиакомпания ""ЮТэйр"" (ПАО) ао",SMAL,active,
VEON-RX,VEON,BMG9349W1038,3.0,VEON Ltd. ORD SHS,SMAL,active,
VGSB,ВолгЭнСб,RU000A0D8L73,3.0,"""Волгоград.энергосбыткомп"" ПАО",SMAL,active,
VGSBP,ВолгЭнСб-п,RU000A0D8L57,3.0,"""Волгоград.энергосбыткомп"" ПАО",SMAL,active,
VLHZ,ВХЗ-ао,RU0007984761,3.0,Владимирский химич.з-д(ПАО) ао,SMAL,active,
VRSB,ТНСэнВорон,RU000A0DPG67,3.0,ТНС энерго Воронеж ПАО ао,SMAL,active,
VRSBP,ТНСэнВор-п,RU000A0DPG75,3.0,ТНС энерго Воронеж ПАО ап,SMAL,active,
WTCM,ЦМТ ао,RU0008137070,3.0,"""Центр междун. торговли""ПАО ао",SMAL,active,
WTCMP,ЦМТ ап,RU0008137088,3.0,"""Центр междун. торговли""ПАО ап",SMAL,active,
YAKG,ЯТЭК ао,RU0007796819,3.0,Якутская топл.-энерг. комп. ао,SMAL,active,
YKEN,Якутскэнрг,RU0009257075,3.0,"АК ""Якутскэнерго"" (ПАО) ао",SMAL,active,
YKENP,Якутскэн-п,RU0007796827,3.0,"АК ""Якутскэнерго"" (ПАО) ап",SMAL,active,
YRSB,ТНСэнЯр,RU000A0D8760,3.0,ТНС энерго Ярославль ПАО ао,SMAL,active,
YRSBP,ТНСэнЯр-п,RU000A0D88B3,3.0,ТНС энерго Ярославль ПАО ап,SMAL,active,
ZAYM,Займер ао,RU000A107RM8,3.0,Займер ао,SMAL,active,
ZVEZ,ЗВЕЗДА ао,RU0009091300,3.0,ЗВЕЗДА ПАО ао,SMAL,active,
ABIO,iАРТГЕН ао,RU000A0JNAB6,2.0,"ПАО ""Артген""",SPEQ,active,
AFKS,Система ао,RU000A0DQZE3,1.0,"АФК ""Система"" ПАО ао",SPEQ,active,
AFLT,Аэрофлот,RU0009062285,1.0,Аэрофлот-росс.авиалин(ПАО)ао,SPEQ,active,
ALRS,АЛРОСА ао,RU0007252813,1.0,АЛРОСА ПАО ао,SPEQ,active,
APRI,АПРИ,RU000A108LJ5,3.0,АПРИ,SPEQ,active,
ASTR,Астра ао,RU000A106T36,1.0,Группа Астра ао,SPEQ,active,
BANE,Башнефт ао,RU0007976957,3.0,Башнефть АНК ао,SPEQ,active,
BELU,НоваБев ао,RU000A0HL5M1,1.0,НоваБев Групп ПАО ао,SPEQ,active,
BSPB,БСП ао,RU0009100945,1.0,"ПАО ""Банк ""Санкт-Петербург"" ао",SPEQ,active,
CBOM,МКБ ао,RU000A0JUG31,1.0,"""МКБ"" ПАО ао",SPEQ,active,
CHMF,СевСт-ао,RU0009046510,1.0,Северсталь (ПАО)ао,SPEQ,active,
CNRU,ЦИАН,RU000A10ANA1,1.0,"МКПАО ""ЦИАН""",SPEQ,active,
DATA,iАренадата,RU000A108ZR8,2.0,Группа Аренадата,SPEQ,active,
DIAS,iДиасофт,RU000A107ER5,2.0,Диасофт ао,SPEQ,active,
FEES,Россети,RU000A0JPNN9,1.0,"""ФСК - Россети"" ПАО",SPEQ,active,
FESH,ДВМП ао,RU0008992318,2.0,ДВ морское пароходство ПАО ао,SPEQ,active,
FLOT,Совкомфлот,RU000A0JXNU8,1.0,Совкомфлот ао,SPEQ,active,
GAZP,ГАЗПРОМ ао,RU0007661625,1.0,"""Газпром"" (ПАО) ао",SPEQ,active,
GMKN,ГМКНорНик,RU0007288411,1.0,"ГМК ""Нор.Никель"" ПАО ао",SPEQ,active,
HYDR,РусГидро,RU000A0JPKH7,1.0,"ПАО ""РусГидро""",SPEQ,active,
IRAO,ИнтерРАОао,RU000A0JPNM1,1.0,"""Интер РАО"" ПАО ао",SPEQ,active,
IVAT,iИВА,RU000A108GD8,2.0,ПАО ИВА ао,SPEQ,active,
KLVZ,Кристалл,RU000A107KX0,3.0,Алкогольная Группа Кристалл,SPEQ,active,
KMAZ,КАМАЗ,RU0008959580,2.0,КАМАЗ ПАО,SPEQ,active,
LEAS,Европлан,RU000A0ZZFS9,1.0,ПАО «ЛК «Европлан»,SPEQ,active,
LKOH,ЛУКОЙЛ,RU0009024277,1.0,НК ЛУКОЙЛ (ПАО) - ао,SPEQ,active,
LMBZ,Ламбумиз,RU000A108ZX6,3.0,Ламбумиз,SPEQ,active,
MAGN,ММК,RU0009084396,1.0,"""Магнитогорск.мет.комб"" ПАО ао",SPEQ,active,
MBNK,МТС Банк,RU000A0JRH43,1.0,МТС-Банк ао,SPEQ,active,
MGNT,Магнит ао,RU000A0JKQU8,3.0,"""Магнит"" ПАО ао",SPEQ,active,
MOEX,МосБиржа,RU000A0JR4A1,1.0,ПАО Московская Биржа,SPEQ,active,
MTLR,Мечел ао,RU000A0DKXV5,1.0,Мечел ПАО ао,SPEQ,active,
MTSS,МТС-ао,RU0007775219,1.0,Мобильные ТелеСистемы ПАО ао,SPEQ,active,
MVID,М.видео,RU000A0JPGA0,1.0,"""М.видео"" ПАО ао",SPEQ,active,
NLMK,НЛМК ао,RU0009046452,1.0,"ПАО ""НЛМК"" ао",SPEQ,active,
NVTK,Новатэк ао,RU000A0DKVS5,1.0,"ПАО ""НОВАТЭК"" ао",SPEQ,active,
OZON,OZON-адр,US69269L1044,3.0,АДР Ozon Holdings PLC ORD SHS,SPEQ,active,
OZPH,iОзонФарм,RU000A109B25,2.0,Озон Фармацевтика,SPEQ,active,
PHOR,ФосАгро ао,RU000A0JRKT8,1.0,ФосАгро ПАО ао,SPEQ,active,
PIKK,ПИК ао,RU000A0JP7J7,1.0,ПИК СЗ (ПАО) ао,SPEQ,active,
PLZL,Полюс,RU000A0JNAA8,1.0,Полюс ПАО ао,SPEQ,active,
POSI,iПозитив,RU000A103X66,1.0,Группа Позитив ао,SPEQ,active,
PRMD,ПРОМОМЕД,RU000A108JF7,2.0,ПРОМОМЕД,SPEQ,active,
RAGR,Русагро,RU000A0JQUZ6,1.0,Группа Русагро,SPEQ,active,
RASP,Распадская,RU000A0B90N8,2.0,ПАО Распадская ао,SPEQ,active,
RNFT,РуссНфт ао,RU000A0JSE60,1.0,РуссНефть НК ПАО ао,SPEQ,active,
ROSN,Роснефть,RU000A0J2Q06,1.0,ПАО НК Роснефть,SPEQ,active,
RTKM,Ростел -ао,RU0008943394,1.0,Ростелеком (ПАО) ао.,SPEQ,active,
RUAL,РУСАЛ ао,RU000A1025V3,1.0,РУСАЛ ОК МКПАО ао,SPEQ,active,
SBER,Сбербанк,RU0009029540,1.0,Сбербанк России ПАО ао,SPEQ,active,
SBERP,Сбербанк-п,RU0009029557,1.0,Сбербанк России ПАО ап,SPEQ,active,
SFIN,ЭсЭфАй ао,RU000A0JVW89,1.0,ЭсЭфАй ПАО ао,SPEQ,active,
SGZH,Сегежа,RU000A102XG9,1.0,Сегежа ао,SPEQ,active,
SIBN,Газпрнефть,RU0009062467,3.0,Газпром нефть ПАО ао,SPEQ,active,
SMLT,Самолет ао,RU000A0ZZG02,1.0,ГК Самолет ао,SPEQ,active,
SNGS,Сургнфгз,RU0008926258,2.0,Сургутнефтегаз ПАО акции об.,SPEQ,active,
SNGSP,Сургнфгз-п,RU0009029524,2.0,Сургутнефтегаз ПАО ап,SPEQ,active,
SOFL,iСофтлайн,RU000A0ZZBC2,2.0,Софтлайн ао,SPEQ,active,
SPBE,СПБ Биржа,RU000A0JQ9P9,3.0,СПБ Биржа ао,SPEQ,active,
SVCB,Совкомбанк,RU000A0ZZAC4,1.0,Совкомбанк ао,SPEQ,active,
T,Т-Техно ао,RU000A107UL4,1.0,Т-Технологии МКПАО ао,SPEQ,active,
TATN,Татнфт 3ао,RU0009033591,1.0,"ПАО ""Татнефть"" ао",SPEQ,active,
TATNP,Татнфт 3ап,RU0006944147,1.0,"ПАО ""Татнефть"" ап 3 вып.",SPEQ,active,
TRNFP,Транснф ап,RU0009091573,1.0,Транснефть ПАО акц.пр.,SPEQ,active,
