SECID,SHORTNAME,ISIN,LISTLEVEL,SECNAME,BOARDID,status,TRADEDATE
UTAR,ЮТэйр ао,RU0007661385,3.0,"Авиакомпания ""ЮТэйр"" (ПАО) ао",TQBR,active,
UWGN,ОВК ао,RU000A0JVBT9,3.0,ПАО НПК ОВК ао,TQBR,active,
VEON-RX,VEON,BMG9349W1038,3.0,VEON Ltd. ORD SHS,TQBR,active,
VGSB,ВолгЭнСб,RU000A0D8L73,3.0,"""Волгоград.энергосбыткомп"" ПАО",TQBR,active,
VGSBP,ВолгЭнСб-п,RU000A0D8L57,3.0,"""Волгоград.энергосбыткомп"" ПАО",TQBR,active,
VJGZ,Варьеган,RU0009046460,3.0,ННК-Варьеганнефтегаз ПАО ао,TQBR,active,
VJGZP,Варьеган-п,RU0007964789,3.0,ННК-Варьеганнефтегаз ПАО ап,TQBR,active,
VKCO,"МКПАО ""ВК""",RU000A106YF0,1.0,Международная компания ПАО ВК,TQBR,active,
VLHZ,ВХЗ-ао,RU0007984761,3.0,Владимирский химич.з-д(ПАО) ао,TQBR,active,
VRSB,ТНСэнВорон,RU000A0DPG67,3.0,ТНС энерго Воронеж ПАО ао,TQBR,active,
VRSBP,ТНСэнВор-п,RU000A0DPG75,3.0,ТНС энерго Воронеж ПАО ап,TQBR,active,
VSEH,ВИ.ру,RU000A108K09,1.0,ВИ.ру,TQBR,active,
VSMO,ВСМПО-АВСМ,RU0009100291,2.0,Корп. ВСМПО-АВИСМА (ПАО) ао,TQBR,active,
VSYD,ВыбСудЗ ао,RU0006334372,3.0,Выборгский Суд.Завод ПАО ао,TQBR,active,
VSYDP,ВыбСудЗ ап,RU0006334380,3.0,Выборгский Суд.Завод ПАО ап,TQBR,active,
VTBR,ВТБ ао,RU000A0JP5V6,1.0,ао ПАО Банк ВТБ,TQBR,active,
WTCM,ЦМТ ао,RU0008137070,3.0,"""Центр междун. торговли""ПАО ао",TQBR,active,
WTCMP,ЦМТ ап,RU0008137088,3.0,"""Центр междун. торговли""ПАО ап",TQBR,active,
WUSH,iВУШХолднг,RU000A105EX7,2.0,ВУШ Холдинг ао,TQBR,active,
X5,КЦ ИКС 5,RU000A108X38,1.0,Корпоративный центр ИКС 5,TQBR,active,
YAKG,ЯТЭК ао,RU0007796819,3.0,Якутская топл.-энерг. комп. ао,TQBR,active,
YDEX,ЯНДЕКС,RU000A107T19,1.0,МКПАО ЯНДЕКС,TQBR,active,
YKEN,Якутскэнрг,RU0009257075,3.0,"АК ""Якутскэнерго"" (ПАО) ао",TQBR,active,
YKENP,Якутскэн-п,RU0007796827,3.0,"АК ""Якутскэнерго"" (ПАО) ап",TQBR,active,
YRSB,ТНСэнЯр,RU000A0D8760,3.0,ТНС энерго Ярославль ПАО ао,TQBR,active,
YRSBP,ТНСэнЯр-п,RU000A0D88B3,3.0,ТНС энерго Ярославль ПАО ап,TQBR,active,
ZAYM,Займер ао,RU000A107RM8,3.0,Займер ао,TQBR,active,
ZILL,ЗИЛ ао,RU0009086193,3.0,Завод им. И.А.Лихачева ПАО ао,TQBR,active,
ZVEZ,ЗВЕЗДА ао,RU0009091300,3.0,ЗВЕЗДА ПАО ао,TQBR,active,
RU0005418747,ФондПервый,RU0005418747,3.0,ОПИФ Фонд Первый,TQIF,active,
RU0006922010,ФондКонс,RU0006922010,3.0,ОПИФ Фонд Консервативный,TQIF,active,
RU0006922044,БКСАкцрост,RU0006922044,3.0,"ОПИФ ""БКС Акции роста""",TQIF,active,
RU000A0ERGA7,ПИФСбер-КН,RU000A0ERGA7,3.0,ПИФСбербанк Комм.недвижимость,TQIF,active,
RU000A0HGNG6,АрсагераФА,RU000A0HGNG6,3.0,ОПИФ Арсагера - фонд акций,TQIF,active,
RU000A0HGNH4,ПИФАрсСИ,RU000A0HGNH4,3.0,Арсагера фонд смеш. инвестиц.,TQIF,active,
RU000A0JP773,БКС РосАкц,RU000A0JP773,3.0,ОПИФ БКС Российские Акции,TQIF,active,
RU000A0JP799,БКС РосОбл,RU000A0JP799,3.0,ОПИФ БКС Российские облигации,TQIF,active,
RU000A0JPMD2,ПИФАрс6.4,RU000A0JPMD2,3.0,Арсагера-акции 6.4 ПИФ,TQIF,active,
RU000A0JPZL7,АкБрс-Инв,RU000A0JPZL7,3.0,"Ак Барс ПИФ ""АК БАРС-Инвестиц""",TQIF,active,
RU000A0JPZP8,АкБрс-Прсп,RU000A0JPZP8,3.0,УКАкБарсКап ПИФ АК БАРС-Персп.,TQIF,active,
RU000A0JR282,ПИФАкции,RU000A0JR282,3.0,ПИФ Акции УК ВИМИнвест,TQIF,active,
RU000A0JR290,ПИФИнМосБр,RU000A0JR290,3.0,ПИФ ИндексМосБиржи УКВИМИнвест,TQIF,active,
RU000A0JR2A5,ПИФСбалан,RU000A0JR2A5,3.0,ПИФ Сбалансир Инв УК ВИМИнвест,TQIF,active,
RU000A0JR2C1,ПИФКазна,RU000A0JR2C1,3.0,ПИФ Казначейский УК ВИМИнвест,TQIF,active,
RU000A0JRHC0,ПИФ АТРИУМ,RU000A0JRHC0,3.0,ПИФ АТРИУМ УК ВЕЛЕС ТР,TQIF,active,
RU000A0JRUQ3,ТКБИП Сбал,RU000A0JRUQ3,3.0,ОПИФ ТКБИП Сбалансированный,TQIF,active,
RU000A0JS991,ПИФКоммИнв,RU000A0JS991,3.0,ПИФ Коммерческие Инвестиции,TQIF,active,
RU000A0JT4S1,НакопРез,RU000A0JT4S1,3.0,ОПИФ Накопительный резерв,TQIF,active,
RU000A0JTVY1,ПИФНевский,RU000A0JTVY1,3.0,ПИФ Невский УК ЭМРИС,TQIF,active,
RU000A0JUR61,ПИФ КОНСЕР,RU000A0JUR61,3.0,УК ПЕРАМО ИН ПИФ КОНСЕРВАТОРия,TQIF,active,
RU000A0JUTH8,ПИФВариант,RU000A0JUTH8,3.0,ЗПИФ Вариант УК ТЕТИС Кэпитал,TQIF,active,
RU000A0JUYB1,ЗПИФЛофтин,RU000A0JUYB1,3.0,ЗПИФ Лофтинвест,TQIF,active,
RU000A0JVEZ0,ИСУ ГК-3,RU000A0JVEZ0,3.0,"ИСУ ГК-3 ""Ай Кью Джи"" УА",TQIF,active,
RU000A0JVGP6,ЗПИФПромИн,RU000A0JVGP6,3.0,"ЗПИФ ""Пром.Ин"" УК ПИ",TQIF,active,
RU000A0JVHY6,БКСИмперия,RU000A0JVHY6,3.0,ОПИФ БКС Империя,TQIF,active,
RU000A0JVJ29,БКСДрагМет,RU000A0JVJ29,3.0,ОПИФ БКС Драгоценные Металлы,TQIF,active,
RU000A0JWAW3,СФНАрБизн,RU000A0JWAW3,3.0,ПИФ СФН - Арендный бизнес,TQIF,active,
RU000A0JWCE7,Перловский,RU000A0JWCE7,3.0,ЗПИФ Недвижимости Перловский,TQIF,active,
RU000A0JXP78,ЗПИФДОМ.РФ,RU000A0JXP78,3.0,ЗПИФ недвижимости ДОМ.РФ,TQIF,active,
RU000A0JXWF0,АрсКР1.55,RU000A0JXWF0,3.0,Арсагера фонд обл КР 1.55,TQIF,active,
RU000A0ZYC64,СоврАрБиз2,RU000A0ZYC64,3.0,ЗПИФ СовременАрендный бизнес 2,TQIF,active,
RU000A0ZZ422,ТРЗПИФ,RU000A0ZZ422,3.0,ЗПИФ Торговые ряды,TQIF,active,
RU000A0ZZ5R2,СоврАрБиз3,RU000A0ZZ5R2,3.0,ПИФ Современ Арендный бизнес 3,TQIF,active,
RU000A0ZZAU6,ЗПИФ АКЦ 1,RU000A0ZZAU6,3.0,ЗПИФ АКЦЕНТ ФОНД I - ЛОГИСТИКА,TQIF,active,
RU000A0ZZCD8,ИПИФМирИнв,RU000A0ZZCD8,3.0,ИПИФ Мировые инвестиции УКАтон,TQIF,active,
RU000A0ZZMD7,РСХБ Облиг,RU000A0ZZMD7,3.0,ОПИФ РСХБ – Фонд Облигаций,TQIF,active,
RU000A0ZZML0,РСХБ Сбал,RU000A0ZZML0,3.0,ОПИФ РСХБ Сбалансированный,TQIF,active,
RU000A0ZZMN6,РСХБ Акции,RU000A0ZZMN6,3.0,ОПИФ РСХБ – Фонд Акций,TQIF,active,
RU000A0ZZVH9,ГПБУАЕОбИП,RU000A0ZZVH9,3.0,ПИФ Газпромбанк-Еврооблигации,TQIF,active,
RU000A1000W4,ХаризмИдеи,RU000A1000W4,3.0,ОПИФ Харизматичные идеи,TQIF,active,
RU000A1000Y0,iпре-АйПиО,RU000A1000Y0,3.0,ПИФ ВИМ пре-АйПиО фонд,TQIF,active,
RU000A1007R9,БКСФундВыб,RU000A1007R9,3.0,ОПИФ БКС Фундаментальный Выбор,TQIF,active,
RU000A100EQ2,БКС РосЕвр,RU000A100EQ2,3.0,ОПИФ БКС Российские Еврообл,TQIF,active,
RU000A101HY7,ПИФАльфаАП,RU000A101HY7,3.0,ПИФ Альфа-К Арендн. поток,TQIF,active,
RU000A101NK4,ЗПИФ ФПР,RU000A101NK4,2.0,ЗПИФ Фонд первичных размещений,TQIF,active,
RU000A101UK9,ОРЕОЛСтрой,RU000A101UK9,3.0,ЗПИФ СТРОЙПРОЕКТ УК ОРЕОЛ,TQIF,active,
RU000A101UY0,ОПИФ MM,RU000A101UY0,3.0,ОПИФ МКБ Денежный рынок,TQIF,active,
RU000A101YY2,ПИФАльфАП2,RU000A101YY2,3.0,ЗПИФ Альфа-К Арендный поток-2,TQIF,active,
RU000A1022Z1,ПАРУС-ОЗН,RU000A1022Z1,3.0,ЗПИФ ПАРУС-ОЗН,TQIF,active,
RU000A1027E5,ЗПИФ ВДО,RU000A1027E5,3.0,ЗПИФ Фонд ВДО разв. росс. комп,TQIF,active,
RU000A102AH5,ЗПИФСовр 6,RU000A102AH5,3.0,ЗПИФ Современный 6,TQIF,active,
RU000A102N77,ЗПИФРД,RU000A102N77,1.0,ЗПИФ РД,TQIF,active,
RU000A102PE0,ФондсубUSD,RU000A102PE0,3.0,ИПИФ ВИМ Фонд Суборд Доллары,TQIF,active,
RU000A102PF7,ФондсубEUR,RU000A102PF7,3.0,ИПИФ ВИМ Фонд Суборд Евро,TQIF,active,
RU000A102PN1,ПИФАльфаФФ,RU000A102PN1,3.0,ЗПИФ Альфа-К ФастФуд,TQIF,active,
RU000A102PQ4,ФондСубРуб,RU000A102PQ4,3.0,ИПИФ ВИМ Фонд Суборд Рубли,TQIF,active,
RU000A102Q33,БКС Миррес,RU000A102Q33,3.0,ОПИФ БКС Мировые ресурсы,TQIF,active,
RU000A1034U7,СФНАрБиз7,RU000A1034U7,3.0,ЗПИФ Недвижимости Современный7,TQIF,active,
RU000A103B62,РенДохПРО,RU000A103B62,3.0,Рентный доход ПРО,TQIF,active,
RU000A103HD7,ЗПИФРД2,RU000A103HD7,3.0,ЗПИФ РД 2,TQIF,active,
RU000A104172,ПАРУС-СБЛ,RU000A104172,3.0,ЗПИФ ПАРУС-СБЛ,TQIF,active,
RU000A104FB3,Гиперион,RU000A104FB3,3.0,ИПИФ Газпромбанк - Гиперион,TQIF,active,
RU000A104KU3,ПАРУС-НОРД,RU000A104KU3,3.0,ЗПИФ ПАРУС-Нордвей,TQIF,active,
RU000A104M43,ПИФ Аленка,RU000A104M43,3.0,ОПИФ Аленка-Капитал,TQIF,active,
RU000A104YX8,ЗПИФКомНед,RU000A104YX8,3.0,ЗПИФ СФН Совр Ком недвиж,TQIF,active,
RU000A105153,ХеджФондР5,RU000A105153,3.0,ИПИФ Астра Хедж-фонд Р5,TQIF,active,
RU000A105328,ПАРУС-ЛОГ,RU000A105328,3.0,ЗПИФ ПАРУС-ЛОГИСТИКА,TQIF,active,
RU000A105R70,Аннапурна,RU000A105R70,3.0,ИПИФ Аннапурна,TQIF,active,
RU000A105RJ8,РСХБДолРын,RU000A105RJ8,3.0,ОПИФ РСХБ Долговой рынок,TQIF,active,
RU000A105TU1,БКСКапитал,RU000A105TU1,3.0,ОПИФ БКС Капитал,TQIF,active,
RU000A1068X9,ПАРУС-ДВН,RU000A1068X9,3.0,ЗПИФ ПАРУС-Двинцев,TQIF,active,
RU000A106G80,ТКЗамещОбл,RU000A106G80,3.0,ЗПИФ Тинькофф Замещающие облиг,TQIF,active,
RU000A106LB6,ВсеСзПортф,RU000A106LB6,3.0,ИПИФ Всесезонный портфель,TQIF,active,
RU000A106LC4,МаксВозм,RU000A106LC4,3.0,Атон Максимум возможностей,TQIF,active,
RU000A106MG3,ХеджФондД5,RU000A106MG3,3.0,ИПИФ Астра Хедж-фонд Д5,TQIF,active,
RU000A106N57,Атон-Об2.0,RU000A106N57,3.0,ИПИФ Атон – Облигации 2.0,TQIF,active,
RU000A1075T2,ЗПИФ Рубин,RU000A1075T2,3.0,ЗПИФ Газпромбанк – Рубин,TQIF,active,
RU000A107860,ХеджФондЮ5,RU000A107860,3.0,ИПИФ Астра Хедж-фонд Ю5,TQIF,active,
RU000A1079J5,ХеджФондД1,RU000A1079J5,3.0,ИПИФ Астра Хедж-фонд Д1,TQIF,active,
RU000A107J37,ПИФ СЖилН,RU000A107J37,3.0,ПИФ Альфа Самолет Жилая недвиж,TQIF,active,
RU000A107RE5,ПИФ СкладК,RU000A107RE5,3.0,ЗПИФ Альфа Складская коллекция,TQIF,active,
RU000A107U08,РазумИнвес,RU000A107U08,3.0,ОПИФ Разумный инвестор,TQIF,active,
RU000A108157,Рентал ПРО,RU000A108157,3.0,ЗПИФ Рентал ПРО,TQIF,active,
RU000A108751,ПИФПромПар,RU000A108751,3.0,ЗПИФ Альфа Промышленные парки,TQIF,active,
RU000A108KP4,ХеджФондА+,RU000A108KP4,3.0,ИПИФ Астра Хедж-фонд А+,TQIF,active,
RU000A108RS3,ПИФЗалЗайм,RU000A108RS3,3.0,ЗПИФ Залоговые займы,TQIF,active,
RU000A108TT7,БКСДивАкци,RU000A108TT7,3.0,БКС Дивиденд акции с выплатой,TQIF,active,
RU000A108VR7,ПАРУС-МАКС,RU000A108VR7,3.0,ЗПИФ ПАРУС-МАКС,TQIF,active,
RU000A108ZB2,2хОФЗ,RU000A108ZB2,3.0,ВИМ Инвестиции 2х ОФЗ,TQIF,active,
RU000A1092L4,ПИФАКТИВ20,RU000A1092L4,3.0,ЗПИФ АКТИВО ДВАДЦАТЬ,TQIF,active,
RU000A1095D4,Атон - ОФЗ,RU000A1095D4,3.0,ИПИФ Атон - ОФЗ,TQIF,active,
RU000A1099U0,ЗПИФСовр 9,RU000A1099U0,3.0,ЗПИФ Современный 9,TQIF,active,
RU000A109G79,ПИФГРИНФЛО,RU000A109G79,3.0,ЗПИФ ГРИНФЛОУ СКАНДИНАВИЯ,TQIF,active,
RU000A109QR5,ААА Золото,RU000A109QR5,3.0,ААА ПИФ Фонд Золота,TQIF,active,
RU000A109R27,2х Акции,RU000A109R27,3.0,2х Акции,TQIF,active,
RU000A10ATA8,ПИФАКТИВФЛ,RU000A10ATA8,3.0,ЗПИФ АКТИВО ФЛИППИНГ,TQIF,active,
XHOUSE,ЗПИФ СМЛТ,RU000A10A117,3.0,ЗПИФ Самолет Инвестиции в недв,TQIF,active,
AKAI,AKAI ETF,RU000A109PQ9,1.0,БПИФ Антиинфляционный,TQTF,active,
AKFB,AKFB ETF,RU000A109T66,1.0,БПИФ Альфа Обл с перем купоном,TQTF,active,
AKGD,AKGD ETF,RU000A1045N8,1.0,БПИФ Альфа Капитал Золото,TQTF,active,
AKHT,AKHT ETF,RU000A109VF0,1.0,БПИФ Альфа Капитал ИТ Лидеры,TQTF,active,
AKIE,ETF AKIE,RU000A109JU4,1.0,БПИФ Альфа Упр Акции с доходом,TQTF,active,
AKMB,ETF AKMB,RU000A101PN3,1.0,БПИФ Альфа Управляем облигации,TQTF,active,
AKME,ETF AKME,RU000A102E78,1.0,БПИФ Альфа Управляем Акции,TQTF,active,
AKMM,AKMM ETF,RU000A104X08,1.0,БПИФ Альфа Денежный рынок,TQTF,active,
AKMP,AKMP ETF,RU000A10AU81,1.0,БПИФ Альфа Денежный рынок Плюс,TQTF,active,
AKPP,AKPP ETF,RU000A10AUA6,1.0,БПИФ Альфа Платина-Палладий,TQTF,active,
AKQU,AKQU ETF,RU000A103NR5,1.0,БПИФ Альфа Капитал Квант,TQTF,active,
AKUP,AKUP ETF,RU000A107KJ9,1.0,Альфа-Капитал Умный портфель,TQTF,active,
AMFL,AMFL ETF,RU000A10AFG4,1.0,БПИФ АТОН – Флоатеры,TQTF,active,
AMGB,AMGB ETF,RU000A10AFH2,1.0,БПИФ АТОН - Длинные ОФЗ,TQTF,active,
AMNR,AMNR ETF,RU000A107H96,1.0,АТОН – Накопительный в рублях,TQTF,active,
AMNY,AMNY ETF,RU000A108P04,1.0,АТОН - Накопительный в юанях,TQTF,active,
AMRE,AMRE ETF,RU000A102XX4,1.0,БПИФ АТОН – Российские акции +,TQTF,active,
AMRH,AMRH ETF,RU000A103FW1,1.0,БПИФ АТОН Высокодох. рос. обл.,TQTF,active,
BCSB,BCSB ETF,RU000A102ST2,1.0,БКС Облигации повыш доход,TQTF,active,
BCSD,BCSD ETF,RU000A108ZJ5,1.0,БПИФ БКС Денежный рынок,TQTF,active,
BCSR,BCSR ETF,RU000A10A0N6,1.0,БПИФ БКС Индекс Росс рынка,TQTF,active,
BOND,BOND ETF,RU000A104Z22,1.0,ДОХОДЪ Сбондс Корп. обл. РФ,TQTF,active,
CASH,CASH ETF,RU000A109X11,1.0,ААА БПИФ Ежедневный процент,TQTF,active,
CNYM,CNYM ETF,RU000A107D41,1.0,Ликвидность. Юань,TQTF,active,
DIVD,ETF DIVD,RU000A102N02,1.0,БПИФ ДОХОДЪ Инд дивид акций,TQTF,active,
EQMX,EQMX ETF,RU000A101EJ5,1.0,БПИФ Индекс МосБиржи УК ВИМ,TQTF,active,
ESGE,ESGE ETF,RU000A103LL2,1.0,БПИФ УстойчРазвРоссКомп УК ВИМ,TQTF,active,
ESGR,ESGR ETF,RU000A101R66,1.0,БПИФ РСХБ-МосБиржа-РСПП Вектор,TQTF,active,
FINC,FINC ETF,RU000A109866,1.0,ФИНСТАР Денежный рынок +,TQTF,active,
FMMM,FMMM ETF,RU000A109LD6,3.0,БПИФ Финам Денежный рынок,TQTF,active,
GOLD,GOLD ETF,RU000A101NZ2,1.0,БПИФ Золото.Биржевой УК ВИМ,TQTF,active,
GOOD,GOOD ETF,RU000A10A7V4,1.0,ДОХОДЪ Стратегии денеж. рынка,TQTF,active,
GROD,ETF GROD,RU000A1037V8,1.0,БПИФ ДОХОДЪ Инд акций роста,TQTF,active,
INFL,INFL ETF,RU000A1047H6,1.0,БПИФ Ингосстрах Инфляционный,TQTF,active,
INGO,INGO ETF,RU000A103CA4,1.0,БПИФ Ингосстрах Корп облигации,TQTF,active,
LQDT,LQDT ETF,RU000A1014L8,1.0,БПИФ Ликвидность УК ВИМ,TQTF,active,
MKBD,MKBD ETF,RU000A103BX8,1.0,БПИФ МКБ Российские Див. Акции,TQTF,active,
MONY,MONY ETF,RU000A10AF15,3.0,БПИФ АК БАРС Денежный рынок,TQTF,active,
OBLG,OBLG ETF,RU000A1002S8,1.0,БПИФ Российскиеоблигации УКВИМ,TQTF,active,
OPNB,OPNB ETF,RU000A103HB1,1.0,БПИФ Открытие - Облигации РФ,TQTF,active,
OPNR,OPNR ETF,RU000A103H90,1.0,БПИФ Открытие - Акции РФ,TQTF,active,
PRIE,PRIE ETF,RU000A1030R1,1.0,БПИФ РСХБ-Облигации ИЭсДжи,TQTF,active,
PSMM,PSMM ETF,RU000A108G96,1.0,БПИФ РФИ ПСБ–Денежный рынок,TQTF,active,
PSRB,PSRB ETF,RU000A10A0X5,1.0,ПСБ  Рублевые облигации,TQTF,active,
RSHU,RSHU ETF,RU000A101368,1.0,БПИФ РСХБ Корп обл смарт бета,TQTF,active,
SBBY,SBBY ETF,RU000A106J53,1.0,БПИФ Фонд Инструменты в юанях,TQTF,active,
SBCB,SBCB ETF,RU000A1000Q6,1.0,БПИФ Первая Фонд валютн. облиг,TQTF,active,
SBCN,SBCN ETF,RU000A105PU9,1.0,БПИФ Первая Сберегат. в юанях,TQTF,active,
SBCS,SBCS ETF,RU000A1035N9,1.0,БПИФ Первая Консерватив смарт,TQTF,active,
SBDS,SBDS ETF,RU000A1035L3,1.0,БПИФ Первая Фонд Моя цель 2045,TQTF,active,
SBFR,SBFR ETF,RU000A107KW2,1.0,БПИФ Первая Облигации флоатеры,TQTF,active,
SBGB,SBGB ETF,RU000A1000F9,1.0,БПИФ Первая Гос. облигации,TQTF,active,
SBGD,SBGD ETF,RU000A105385,1.0,БПИФ Первая Доступное золото,TQTF,active,
SBHI,SBHI ETF,RU000A103ZQ1,1.0,БПИФ Первая Халяльные инвест,TQTF,active,
SBLB,SBLB ETF,RU000A108355,1.0,БПИФПервая Долгосроч.гособлиг.,TQTF,active,
SBMM,SBMM ETF,RU000A103RF1,1.0,БПИФ Первая Сберегательный,TQTF,active,
SBMX,SBMX ETF,RU000A0ZZH92,1.0,БПИФ Первая Топ Рос. акций,TQTF,active,
SBPS,SBPS ETF,RU000A1035R0,1.0,БПИФ Первая Фонд Моя цель 2035,TQTF,active,
SBRB,SBRB ETF,RU000A100P44,1.0,БПИФ  Первая Корп облигации,TQTF,active,
SBRI,SBRI ETF,RU000A1024P8,1.0,БПИФ Первая Ответствен инвест,TQTF,active,
SBRS,SBRS ETF,RU000A1035Q2,1.0,БПИФ Первая Осторожный смарт,TQTF,active,
SBSC,SBSC ETF,RU000A106XY3,1.0,БПИФ Первая Акции ср.и мал.кап,TQTF,active,
SBWS,SBWS ETF,RU000A1035S8,1.0,БПИФ Первая Взвешенный смарт,TQTF,active,
SCFT,SCFT ETF,RU000A104FE7,1.0,БПИФ Технологии будущего,TQTF,active,
SCLI,SCLI ETF,RU000A108VV9,1.0,БПИФ Ликвидный,TQTF,active,
SIPO,SIPO ETF,RU000A108X20,1.0,БПИФ Первая Индекс IPO,TQTF,active,
SMCF,SMCF ETF,RU000A10ASR4,3.0,БПИФ СОЛИД Денежный поток,TQTF,active,
SUGB,SUGB ETF,RU000A1020A8,1.0,БПИФ МКБ – ОФЗ 1-3 г,TQTF,active,
TBEU,TBEU ETF,RU000A103TD2,1.0,БПИФ ТКАПИТАЛ ОБЛИГАЦИИ Е,TQTF,active,
TBRU,TBRU ETF,RU000A1039N1,1.0,БПИФ Т-Капитал ОБЛИГАЦИИ,TQTF,active,
TDIV,TDIV ETF,RU000A107563,1.0,Т-Капитал ДИВИДЕНДНЫЕ АКЦИИ,TQTF,active,
TEUR,TEUR ETF,RU000A1011T7,1.0,БПИФ ТКАПИТАЛ ВЕЧНЫЙ ПОРТФ Е,TQTF,active,
TGLD,TGLD ETF,RU000A101X50,1.0,БПИФ Т-Капитал ЗОЛОТО,TQTF,active,
TITR,TITR ETF,RU000A108BL2,1.0,Т-Капитал Российские Технологи,TQTF,active,
TLCB,TLCB ETF,RU000A107597,1.0,Т-КАПИТАЛ ВАЛЮТНЫЕ ОБЛИГАЦИИ,TQTF,active,
TMON,TMON ETF,RU000A106DL2,1.0,T-КАПИТАЛ ДЕНЕЖНЫЙ РЫНОК,TQTF,active,
TMOS,TMOS ETF,RU000A101X76,1.0,БПИФ Т-КАПИТАЛ ИНДЕКС МОСБИРЖИ,TQTF,active,
TOFZ,TOFZ ETF,RU000A10A1L8,1.0,БПИФ Т-Капитал ОФЗ,TQTF,active,
TPAY,TPAY ETF,RU000A108WX3,1.0,Т-Капитал Пассивный Доход,TQTF,active,
TRND,TRND ETF,RU000A10B0G9,1.0,БПИФ Т-Капитал Трендовые акции,TQTF,active,
TRUR,TRUR ETF,RU000A1011U5,1.0,БПИФ Т-Кап ВЕЧНЫЙ ПОРТФ РУБ,TQTF,active,
TUSD,TUSD ETF,RU000A1011S9,1.0,БПИФ ТКАПИТАЛ ВЕЧНЫЙ ПОРТФ Д,TQTF,active,
YUAN,YUAN ETF,RU000A105SN8,1.0,БПИФ Облигации в юанях,TQTF,active,
CNYM,CNYM ETF,RU000A107D41,1.0,Ликвидность. Юань,TQTY,active,
SBBY,SBBY ETF,RU000A106J53,1.0,БПИФ Фонд Инструменты в юанях,TQTY,active,
SBCN,SBCN ETF,RU000A105PU9,1.0,БПИФ Первая Сберегат. в юанях,TQTY,active,
